# 正方形 Polygon Mesh - Element Connectivity
# Number of Polygons: 36
# Format: Polygon_ID num_vertices vertex_indices...
1 4 1 2 9 8
2 4 2 3 10 9
3 4 3 4 11 10
4 4 4 5 12 11
5 4 5 6 13 12
6 4 6 7 14 13
7 4 8 9 16 15
8 4 9 10 17 16
9 4 10 11 18 17
10 4 11 12 19 18
11 4 12 13 20 19
12 4 13 14 21 20
13 4 15 16 23 22
14 4 16 17 24 23
15 4 17 18 25 24
16 4 18 19 26 25
17 4 19 20 27 26
18 4 20 21 28 27
19 4 22 23 30 29
20 4 23 24 31 30
21 4 24 25 32 31
22 4 25 26 33 32
23 4 26 27 34 33
24 4 27 28 35 34
25 4 29 30 37 36
26 4 30 31 38 37
27 4 31 32 39 38
28 4 32 33 40 39
29 4 33 34 41 40
30 4 34 35 42 41
31 4 36 37 44 43
32 4 37 38 45 44
33 4 38 39 46 45
34 4 39 40 47 46
35 4 40 41 48 47
36 4 41 42 49 48
